મુખપૃષ્ઠ	Main Page
ઊએતેર્સેન્	Uetersen
સમસ્તીપુર જિલ્લો	Samastipur district
સહરસા જિલ્લો	Saharsa district
લખીસરાય જિલ્લો	Lakhisarai district
મધુબની જિલ્લો	Madhubani district
મુજફ્ફરપુર જિલ્લો	Muzaffarpur district
મુંગેર જિલ્લો	Munger district
મધેપુરા જિલ્લો	Madhepura district
ભાગલપુર જિલ્લો	Bhagalpur district
ભોજપુર જિલ્લો	Bhojpur district, Bihar
કૈમૂર જિલ્લો	Kaimur district
ગયા જિલ્લો	Gaya district
બક્સર જિલ્લો	Buxar district
બેગૂસરાય જિલ્લો	Begusarai district
પશ્ચિમ ચંપારણ જિલ્લો	West Champaran district
દરભંગા જિલ્લો	Darbhanga district
પટણા જિલ્લો	Patna district
નાલંદા જિલ્લો	Nalanda district
જહાનાબાદ જિલ્લો	Jehanabad district
જમુઈ જિલ્લો	Jamui district
ખગડિયા જિલ્લો	Khagaria district
અરવલ જિલ્લો	Arwal district
ગોપાલગંજ જિલ્લો	Gopalganj district, India
કટિહાર જિલ્લો	Katihar district
કિશનગંજ જિલ્લો	Kishanganj district
ઔરંગાબાદ જિલ્લો 	Aurangabad district, Bihar
અરરિયા જિલ્લો	Araria district
એલેપ્પી જિલ્લો	Alappuzha district
એર્નાકુલમ જિલ્લો	Ernakulam district
કાસરગોડ જિલ્લો	Kasaragod district
વયનાડ જિલ્લો	Wayanad district
મલપ્પુરમ જિલ્લો	Malappuram district
પલક્કડ જિલ્લો	Palakkad district
કોલ્લમ જિલ્લો	Kollam district
કોટ્ટયમ જિલ્લો	Kottayam district
કણ્ણૂર જિલ્લો	Kannur district
ઇડ્ડક્કિ જિલ્લો	Idukki district
ત્રિશ્શૂર જિલ્લો	Thrissur district
કોઝીક્કોડ જિલ્લો	Kozhikode district
બાગેશ્વર જિલ્લો	Bageshwar district
અલમોડા જિલ્લો	Almora district
ચમોલી જિલ્લો	Chamoli district
ચંપાવત જિલ્લો	Champawat district
દેહરાદૂન જિલ્લો	Dehradun district
હરદ્વાર જિલ્લો	Haridwar district
નૈનિતાલ જિલ્લો	Nainital district
ઉત્તરકાશી જિલ્લો	Uttarkashi district
પિથોરગઢ જિલ્લો	Pithoragarh district
રુદ્રપ્રયાગ જિલ્લો	Rudraprayag district
તેહરી ગઢવાલ જિલ્લો	Tehri Garhwal district
પૌડી ગઢવાલ જિલ્લો	Pauri Garhwal district
ઉધમસિંગ નગર જિલ્લો	Udham Singh Nagar district
ભીમદેવ સોલંકી	Bhima I
કર્ણદેવ સોલંકી	Karna 
અમૃતસર જિલ્લો	Amritsar district
કપૂરથલા જિલ્લો	Kapurthala district
ગુરદાસપુર જિલ્લો	Gurdaspur district
જલંધર જિલ્લો	Jalandhar district
તરન તારન સાહિબ જિલ્લો	Tarn Taran district
પટિયાલા જિલ્લો	Patiala district
મોગા જિલ્લો	Moga district
માનસા જિલ્લો	Mansa district, Punjab
બરનાલા જિલ્લો	Barnala district
હોશિયારપુર જિલ્લો	Hoshiarpur district
મોહાલી જિલ્લો	Sahibzada Ajit Singh Nagar district
રુપનગર જિલ્લો	Rupnagar district
સંગરુર જિલ્લો	Sangrur district
લુધિયાણા જિલ્લો	Ludhiana district
મુક્તસર જિલ્લો	Shri Muktsar Sahib district
ભટિન્ડા જિલ્લો	Bathinda district
ફિરોઝપુર જિલ્લો	Firozpur district
ફરીદકોટ જિલ્લો	Faridkot district
ફતેહગઢ સાહિબ જિલ્લો	Fatehgarh Sahib district
પ્રાથમિક શાળા	Primary school
માધ્યમિક શાળા	Secondary school
અકોલા જિલ્લો	Akola district
અમરાવતી જિલ્લો	Amravati district
અહમદનગર જિલ્લો	Ahmednagar district
ઔરંગાબાદ જિલ્લો	Aurangabad district, Maharashtra
બીડ જિલ્લો	Beed district
ભંડારા જિલ્લો	Bhandara district
ધુલિયા જિલ્લો	Dhule district
યવતમાળ જિલ્લો	Yavatmal district
નંદરબાર જિલ્લો	Nandurbar district
સિંધુદુર્ગ જિલ્લો	Sindhudurg district
વાશીમ જિલ્લો	Washim district
નારદ મુનિ	Narada
ચંદ્રપૂર જિલ્લો	Chandrapur district
પુના જિલ્લો	Pune district
વર્ધા જિલ્લો	Wardha district
ગડચિરોલી જિલ્લો	Gadchiroli district
મુંબઈ ઉપનગરી જિલ્લો	Mumbai Suburban district
થાણા જિલ્લો	Thane district
લાતૂર જિલ્લો	Latur district
જાલના જિલ્લો	Jalna district
જલગાંવ જિલ્લો	Jalgaon district
સાતારા જિલ્લો	Satara district
સોલાપૂર જિલ્લો	Solapur district
સાંગલી જિલ્લો	Sangli district
રાયગડ જિલ્લો	Raigad district
હિંગોલી જિલ્લો	Hingoli district
વીણા	Veena
તાનસેન	Tansen
નાંદેડ જિલ્લો	Nanded district
નાગપૂર જિલ્લો	Nagpur district
રત્નાગિરી જિલ્લો	Ratnagiri district
ઉસ્માનાબાદ જિલ્લો	Osmanabad district
કોલ્હાપૂર જિલ્લો	Kolhapur district
વાલોડ	Valod
નિઝર તાલુકો	Nijhar
બરવાળા તાલુકો	Barwala Taluka
સાણંદ	Sanand
ધોળકા	Dholka
ધંધુકા	Dhandhuka
બાવળા તાલુકો	Bavla 
રાણપુર	Ranpur
વિરમગામ	Viramgam
દેત્રોજ	Detroj
માંડલ	Mandal, Gujarat
અમદાવાદ સીટી તાલુકો	Ahmedabad city 
પારડી	Pardi
ધરમપુર	Dharampur, Gujarat
કામરેજ	Kamrej
ઉમરપાડા	Umarpada
કરજણ	Karjan
ડભોઇ	Dabhoi
જિલ્લો	District
દેશ	Country
તાલુકો	Tehsil
માંડવી 	Mandvi 
ઓલપાડ	Olpad
વાઘોડિયા	Waghodia
લખપત	Lakhpat
ભચાઉ	Bhachau
નખત્રાણા	Nakhatrana
રાણાવાવ	Ranavav
કુતિયાણા	Kutiyana
અગરતલા	Agartala
સી. વી. રામન	C. V. Raman
તળાવ	Lake
વેબ ડિઝાઈન	Web design
ટંકારા	Tankara
જસદણ	Jasdan
ગોંડલ	Gondal, India
જેતપુર	Jetpur, Navagadh
ધોરાજી	Dhoraji
પડધરી	Paddhari
જામકંડોરણા	Jam Kandorna
વાંકાનેર	Wankaner
મોરબી	Morbi
ઉપલેટા	Upleta
તબલા	Tabla
અમીર ખુશરો	Amir Khusrow
કૈફાઇર જિલ્લો	Kiphire district
કોહિમા જિલ્લો	Kohima district
જુન્હેમોટો જિલ્લો	Zunheboto
દીમાપૂર જિલ્લો	Dimapur district
ટ્વેનસાંગ જિલ્લો	Tuensang district
પેરેન જિલ્લો	Peren district
ફેક જિલ્લો	Phek district
લોન્ગલેન્ગ જિલ્લો	Longleng district
વોખા જિલ્લો	Wokha district
મોન જિલ્લો	Mon district
મોકોક્ચુન્ગ જિલ્લો	Mokokchung district
કોહિમા	Kohima
ખમણ	Khaman
લાડુ	Laddu
ચબુતરો	Chabutro
ભમરડો	Top
ઉત્તરાયણ	Uttarayana
ચાળીસગાંવ	Chalisgaon
ભડગાંવ	Bhadgaon, Maharashtra
જલગાંવ	Jalgaon
ધરણગાંવ	Dharangaon
ભુસાવળ	Bhusawal
અમલનેર	Amalner
ચોપડા	Chopda
યાવલ	Yawal
રાવેર	Raver, Maharashtra
બોદવડ	Bodwad
કવર્ધા જિલ્લો	Kabirdham district
કાંકેર જિલ્લો	Kanker district
કોરબા જિલ્લો	Korba district
કોરિયા જિલ્લો	Koriya district
જશપુર જિલ્લો	Jashpur district
જાંજગીર-ચમ્પા જિલ્લો	Janjgir–Champa district
દંતેવાડા	Dantewada
દુર્ગ જિલ્લો	Durg district
ધમતરી જિલ્લો	Dhamtari district
સરગુજા જિલ્લો	Surguja district
રાયપુર જિલ્લો	Raipur district
રાયગઢ જિલ્લો	Raigarh district
રાજનાંદગાંવ જિલ્લો	Rajnandgaon district
મહાસમન્દ જિલ્લો	Mahasamund district
બસ્તર જિલ્લો	Bastar district
બિલાસપુર જિલ્લો, છત્તીસગઢ	Bilaspur district, Chhattisgarh
સાંદીપનિ	Sandipani
કણ્વ	Kanva
શિયાળો	Winter
ઉનાળો	Summer
ચોમાસુ	Monsoon
ઑસ્ટ્રેલિયા	Australia
અમેરિકા	Americas
શૂન્યાવકાશ	Outer space
આંખ	Eye
હાથ	Hand
પગ	Leg
અનામિકા	Ring finger
મધ્યમા	Middle finger
તર્જની	Index finger
જીભ	Tongue
નખ	Nail 
કોડરમા જિલ્લો	Koderma district
ગઢવા જિલ્લો	Garhwa district
ગિરીડીહ જિલ્લો	Giridih district
ગુમલા જિલ્લો	Gumla district
ચતરા જિલ્લો	Chatra district
શિરડીના સાંઇબાબા	Sai Baba of Shirdi
સંગીત	Music
તાલ	Rhythm
અંતરા	Antara 
લય	Bandish
ગીત	Song
શ્રુતિ	Shruti 
રાગ	Raga
વાળ	Hair
સપ્તક	Saptak
સૂર	Svara
જામતાડા જિલ્લો	Jamtara district
દુમકા જિલ્લો	Dumka district
દેવધર જિલ્લો	Deoghar district
ધનબાદ જિલ્લો	Dhanbad district
બોકારો જિલ્લો	Bokaro district
ગોડ્ડા જિલ્લો	Godda district
પલામૂ જિલ્લો	Palamu district
પાકુડ જિલ્લો	Pakur district
રાંચી જિલ્લો	Ranchi district
લાતેહાર જિલ્લો	Latehar district
હજારીબાગ જિલ્લો	Hazaribagh district
સિમડેગા જિલ્લો	Simdega district
સાહિબગંજ જિલ્લો	Sahebganj district
લોહરદગ્ગા જિલ્લો	Lohardaga district
પૂર્વીય સિંહભૂમ જિલ્લો	East Singhbhum district
સરાઇકેલા ખરસાવાં જિલ્લો	Seraikela Kharsawan district
પશ્ચિમી સિંહભૂમ જિલ્લો	West Singhbhum district
કરસનભાઇ પટેલ	Karsanbhai Patel
અંબાલા જિલ્લો	Ambala district
પાનીપત જિલ્લો	Panipat district
યમુનાનગર જિલ્લો	Yamunanagar district
ફરીદાબાદ જિલ્લો	Faridabad district
કરનાલ જિલ્લો	Karnal district
સિરસા જિલ્લો	Sirsa district
રોહતક જિલ્લો	Rohtak district
સોનીપત જિલ્લો	Sonipat district
દૂધ	Milk
બ્રહ્મા	Brahma
શિવ	Shiva
Masti	Masti
ગણેશ	Ganesha
રતન તાતા	Ratan Tata
જમશેદજી તાતા	Jamsetji Tata
મિર્ઝા ગાલિબ	Ghalib
માઉન્ટ આબુ	Mount Abu
આઇઝેક ન્યૂટન	Isaac Newton
Junafani	Junafani
ZorroIII	ZorroIII
Caiaffa	Caiaffa
Darev	Darev
ઇટાનગર	Itanagar
લખનૌ	Lucknow
Janwo	Janwo
દાઢી	Beard
મુછ	Moustache
ચકલી	Sparrow
મનુષ્ય	Human
શનિદેવ	Shani
ટોડરમલ	Todar Mal
અબુલ ફઝલ	Abu'l-Fazl ibn Mubarak
વેરાવળ	Veraval
અંજા જિલ્લો	Anjaw district
ચેંગલોન્ગ જિલ્લો	Changlang district
લોહિત જિલ્લો	Lohit district
તવાંગ જિલ્લો	Tawang district
તિરપ જિલ્લો	Tirap district
પપુમપારે જિલ્લો	Papum Pare district
કંસ	Kamsa
જરાસંધ	Jarasandha
શિશુપાલ	Shishupala
Zorrobot	Zorrobot
સૂચિ	Contents
અરુણાચલ પ્રદેશ	Arunachal Pradesh
હરિયાણા	Haryana
ઉત્તર પ્રદેશ	Uttar Pradesh
રાજસ્થાન	Rajasthan
ઝારખંડ	Jharkhand
આસારામ બાપુ	Asaram
Frank5308000	Frank5308000
Cuaxdon	Cuaxdon
કપડવંજ	Kapadvanj
માહિતીચોકઠું વ્યક્તિ	Infobox person
આણંદ	Anand, Gujarat
દામોદર કુંડ	Damodar Kund
નડીઆદ	Nadiad
ગાયત્રી	Gayatri Mantra
Romaine	Romaine
કાનાજી ઠાકોર	Kanaji Thakor
આગ્રા જિલ્લો	Agra district
અલીગઢ જિલ્લો	Aligarh district
આઝમગઢ જિલ્લો	Azamgarh district
ઇટાવા જિલ્લો	Etawah district
એટા જિલ્લો	Etah district
ગોરખપુર જિલ્લો	Gorakhpur district
બાગપત જિલ્લો	Bagpat district
ગોંડા જિલ્લો	Gonda district
ઝાંસી જિલ્લો	Jhansi district
બરેલી જિલ્લો	Bareilly district
અલ્હાબાદ જિલ્લો	Allahabad district
મથુરા જિલ્લો	Mathura district
મેરઠ જિલ્લો	Meerut district
સહરાનપુર જિલ્લો	Saharanpur district
વારાણસી જિલ્લો	Varanasi district
રામપુર જિલ્લો	Rampur district
લખનૌ જિલ્લો	Lucknow district
લલિતપુર જિલ્લો	Lalitpur district, India
મુરાદાબાદ જિલ્લો	Moradabad district
જૌનપુર જિલ્લો	Jaunpur district
દેવરિયા જિલ્લો	Deoria district
પ્રતાપગઢ જિલ્લો	Pratapgarh district, Uttar Pradesh
રાયબરેલી જિલ્લો	Raebareli district
MenoBot	MenoBot
ગાજીપુર જિલ્લો	Gazipur District
ચન્દૌલી જિલ્લો	Chandauli district
મિર્જાપુર જિલ્લો	Mirzapur district
સીતાપુર જિલ્લો	Sitapur district
શાહજહાંપુર જિલ્લો	Shahjahanpur district
ગાજિયાબાદ જિલ્લો	Ghaziabad district, Uttar Pradesh
